Timestamp (UTC),CO,NO,NO2,NOx,O3,SO2,PM2.5,PM10,NH3,AQI
2024-11-04T04:00:00Z,357.15,1.79,5.65,7.44,47.92,3.4,7.18,9.44,1.88,47.92
2024-11-04T05:00:00Z,323.77,1.08,3.73,4.81,59.37,2.89,7.49,9.64,1.84,59.37
2024-11-04T06:00:00Z,313.76,0.62,2.63,3.25,70.1,2.65,8.33,10.31,1.76,70.1
2024-11-04T07:00:00Z,273.7,0.4,1.74,2.14,69.38,1.74,5.72,7.01,1.2,69.38
2024-11-04T08:00:00Z,253.68,0.38,1.67,2.05,72.96,1.53,4.5,5.52,1.06,72.96
2024-11-04T09:00:00Z,243.66,0.39,1.82,2.21,79.39,1.64,4.83,5.84,1.09,79.39
2024-11-04T10:00:00Z,260.35,0.66,3.34,4.0,82.97,2.41,6.28,7.62,1.61,82.97
2024-11-04T11:00:00Z,290.39,0.98,6.25,7.23,80.11,3.04,7.55,9.38,2.31,80.11
2024-11-04T12:00:00Z,320.43,0.59,10.54,11.13,70.81,3.19,8.01,10.31,2.88,70.81
2024-11-04T13:00:00Z,340.46,0.01,12.51,12.52,64.37,3.37,8.62,11.53,3.55,64.37
2024-11-04T14:00:00Z,357.15,0.0,12.51,12.51,60.8,3.81,10.11,14.18,4.56,60.8
2024-11-04T15:00:00Z,363.83,0.0,12.17,12.17,58.65,3.87,11.19,16.2,4.88,58.65
2024-11-04T16:00:00Z,367.16,0.0,11.31,11.31,56.51,3.67,11.55,17.09,4.5,56.51
2024-11-04T17:00:00Z,380.52,0.0,11.48,11.48,52.21,3.49,12.24,18.36,3.83,52.21
2024-11-04T18:00:00Z,387.19,0.0,11.65,11.65,48.64,3.19,12.8,18.87,3.04,48.64
2024-11-04T19:00:00Z,380.52,0.0,11.14,11.14,45.06,2.65,13.22,18.88,2.5,45.06
2024-11-04T20:00:00Z,380.52,0.0,9.85,9.85,41.84,2.29,14.07,19.68,2.44,41.84
2024-11-04T21:00:00Z,377.18,0.0,8.48,8.48,39.34,2.21,15.07,20.74,2.6,39.34
2024-11-04T22:00:00Z,380.52,0.0,7.63,7.63,37.91,2.32,16.11,21.31,2.75,37.91
2024-11-04T23:00:00Z,380.52,0.0,7.2,7.2,38.62,2.65,17.31,21.63,2.75,38.62
2024-11-05T00:00:00Z,387.19,0.0,7.54,7.54,40.41,3.22,18.53,22.22,2.63,40.41
2024-11-05T01:00:00Z,413.89,0.0,10.02,10.02,43.27,4.05,20.68,24.48,2.66,43.27
2024-11-05T02:00:00Z,500.68,0.61,15.94,16.55,41.48,5.9,27.14,32.42,3.04,45.233333333333334
